,t,E_init,E_PI,E_bc,E_bc_int_ub,E_bc_int_ubdot,E_bc_sum_ubt,E_bc_sum_ub0,N_SP,E_tot,E_ref
1.0,0.0,0.49345725774765015,0.0,0.0,0.0,0.0,0.004151809960603714,0.7888438701629639,0.0,0.49760907888412476,0.49345725774765015
2.0,0.10000000149011612,0.4941485822200775,0.3672906160354614,0.0,0.0797751247882843,0.00027050619246438146,0.004238747991621494,0.7877402305603027,37.0,0.9457235336303711,0.5294331908226013
3.0,0.20000000298023224,0.4948408901691437,0.5336688756942749,0.0,0.16125740110874176,0.0005341106443665922,0.004319425672292709,0.7866382002830505,8.0,1.1946206092834473,0.563710629940033
4.0,0.30000001192092896,0.49553415179252625,0.6808781027793884,0.0,0.24432210624217987,0.0007884157821536064,0.004392907023429871,0.7855376601219177,7.0,1.4259155988693237,0.596196711063385
5.0,0.4000000059604645,0.4962283968925476,0.7404319047927856,0.0,0.3288237452507019,0.0010305820032954216,0.004458227194845676,0.7844386696815491,9.0,1.5709728002548218,0.6268957257270813
6.0,0.5,0.4969235956668854,0.7817192077636719,0.0,0.41459980607032776,0.0012572768609970808,0.004514404106885195,0.7833412289619446,12.0,1.6990143060684204,0.6558777689933777
7.0,0.6000000238418579,0.49761977791786194,0.8380382657051086,0.0,0.5014720559120178,0.0014644961338490248,0.004560455214232206,0.7822453379631042,12.0,1.843155026435852,0.6832575798034668
8.0,0.699999988079071,0.4983169138431549,0.8822598457336426,0.0,0.5892361998558044,0.0016469674883410335,0.004595424979925156,0.7811509370803833,14.0,1.9760552644729614,0.709174633026123
9.0,0.800000011920929,0.49901506304740906,0.9213021397590637,0.0,0.6776759028434753,0.0017976216040551662,0.004618427250534296,0.7800580859184265,16.0,2.1044092178344727,0.7337756752967834
10.0,0.8999999761581421,0.4997141659259796,0.9560061097145081,0.0,0.766556978225708,0.0019068955443799496,0.0046286932192742825,0.7789667844772339,18.0,2.2288126945495605,0.7571998238563538
11.0,1.0,0.500414252281189,0.9872168302536011,0.0,0.855631947517395,0.0019983386155217886,0.004625636152923107,0.7778769731521606,20.0,2.3498871326446533,0.779567539691925
12.0,1.100000023841858,0.5011153221130371,1.0156831741333008,0.0,0.9446440935134888,0.0021303845569491386,0.0046089161187410355,0.7767887115478516,22.0,2.468181610107422,0.8009753227233887
13.0,1.2000000476837158,0.5018174052238464,1.04202401638031,0.0,1.0333325862884521,0.002302809152752161,0.004578498657792807,0.7757019996643066,24.0,2.5840554237365723,0.8214955925941467
14.0,1.2999999523162842,0.5025204420089722,1.0667319297790527,0.0,1.121438980102539,0.0025074139703065157,0.004534698557108641,0.7746167778968811,26.0,2.6977336406707764,0.841180145740509
15.0,1.399999976158142,0.5032244324684143,1.0826544761657715,0.0,1.2087153196334839,0.0027379521634429693,0.0044781980104744434,0.773533046245575,27.0,2.8018105030059814,0.8600651621818542
16.0,1.5,0.5039294362068176,1.1126960515975952,0.0,1.2949235439300537,0.002989222528412938,0.004410034976899624,0.772450864315033,30.0,2.9189484119415283,0.8781770467758179
17.0,1.600000023841858,0.5046354532241821,1.1344738006591797,0.0,1.3798576593399048,0.003256636206060648,0.0043315645307302475,0.7713701725006104,32.0,3.026555061340332,0.8955360651016235
18.0,1.7000000476837158,0.505342423915863,1.1556957960128784,0.0,1.4633331298828125,0.003535991068929434,0.0042443955317139626,0.7702910304069519,34.0,3.1321516036987305,0.9121586680412292
